titulo ,score,date
Ao no Kanata no Four Rhythm,6.70,"Jan 12, 2016, 02:05 (JST)"
Mobile Suit Gundam 00 Second Season,8.11,"Oct 5, 2008"
Needless,7.27,"Jul 3, 2009, 01:30 (JST)"
Seihou Bukyou Outlaw Star,7.87,"Jan 9, 1998, 01:15 (JST)"
"Dragon Ball Z Movie 08: Moetsukiro!! Nessen, Ressen, Chougekisen",7.33,"Mar 6, 1993"
Darker than Black: Kuro no Keiyakusha - Sakura no Hana no Mankai no Shita,7.57,"Mar 26, 2008"
Dennou Coil,8.09,"May 12, 2007"
Shinreigari,7.45,"Oct 18, 2007"
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,8.86,"Jul 9, 2018, 01:35 (JST)"
Gintama Movie 1: Shinyaku Benizakura-hen,8.52,"Apr 24, 2010"
Bounen no Xamdou,7.68,"Jul 15, 2008"
Tokyo Mew Mew,6.99,"Apr 6, 2002"
Deadman Wonderland: Akai Knife Tsukai,6.98,"Oct 8, 2011"
Sora no Otoshimono: Tokeijikake no Angeloid,7.61,"Jun 25, 2011"
Kaiba,8.17,"Apr 11, 2008"
Hello World,7.60,"Sep 20, 2019"
Dragon Ball Z Movie 12: Fukkatsu no Fusion!! Gokuu to Vegeta,7.55,"Mar 4, 1995"
Sunabouzu,7.42,"Oct 6, 2004"
Trigun: Badlands Rumble,7.97,"Apr 2, 2010"
Kuromukuro,7.20,"Apr 7, 2016, 21:00 (JST)"
Dragon Ball Z Movie 05: Tobikkiri no Saikyou tai Saikyou,7.05,"Jul 20, 1991"
Hal,7.47,"Jun 8, 2013"
Samurai 7,7.48,"Jun 12, 2004"
Zetman,6.89,"Apr 3, 2012"
"Ima, Soko ni Iru Boku",7.66,"Oct 14, 1999, 19:00 (JST)"
ChäoS;Child,6.38,"Jan 11, 2017, 23:30 (JST)"
Azur Lane,6.27,"Oct 3, 2019, 23:30 (JST)"
To LOVE-Ru Darkness OVA,7.59,"Aug 17, 2012"
Eve no Jikan (Movie),8.05,"Mar 6, 2010"
Coppelion,6.48,"Oct 2, 2013"
Toaru Majutsu no Index Movie: Endymion no Kiseki,7.49,"Feb 23, 2013"
FLCL Progressive,6.42,"Sep 28, 2018"
Dragon Ball Z Movie 03: Chikyuu Marugoto Choukessen,6.72,"Jul 7, 1990"
Island,6.34,"Jul 1, 2018, 22:00 (JST)"
Kono Yo no Hate de Koi wo Utau Shoujo YU-NO,6.58,"Apr 2, 2019, 23:00 (JST)"
Sidonia no Kishi: Daikyuu Wakusei Seneki,7.77,"Apr 11, 2015, 01:55 (JST)"
Classroom☆Crisis,7.03,"Jul 4, 2015, 01:55 (JST)"
RahXephon,7.42,"Jan 21, 2002, 16:25 (JST)"
IS: Infinite Stratos Encore - Koi ni Kogareru Rokujuusou,6.91,"Dec 7, 2011"
Hokuto no Ken,7.98,"Oct 4, 1984, 19:00 (JST)"
Accel World EX,7.14,"Sep 13, 2012"
Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season,8.23,"Oct 2, 2016, 17:00 (JST)"
Shichisei no Subaru,6.12,"Jul 6, 2018, 01:58 (JST)"
Dragon Ball Z Movie 06: Gekitotsu!! 100-oku Power no Senshi-tachi,6.83,"Mar 7, 1992"
Aria the Origination,8.53,"Jan 8, 2008, 02:00 (JST)"
"Trickster: Edogawa Ranpo ""Shounen Tanteidan"" yori",6.23,"Oct 4, 2016, 01:05 (JST)"
Mobile Suit Gundam,7.78,"Apr 7, 1979, 17:30 (JST)"
Dragon Ball Z Movie 13: Ryuuken Bakuhatsu!! Gokuu ga Yaraneba Dare ga Yaru,7.34,"Jul 15, 1995"
Top wo Nerae! Gunbuster,7.89,"Oct 7, 1988"
Witchblade,7.26,"Apr 6, 2006, 01:45 (JST)"
Dragon Ball Z Movie 01: Ora no Gohan wo Kaese!!,6.69,"Jul 15, 1989"
Digimon Adventure Movie,7.57,"Mar 6, 1999"
Heroic Age,7.55,"Apr 2, 2007, 01:30 (JST)"
Senki Zesshou Symphogear,7.03,"Jan 6, 2012, 23:00 (JST)"
Nihon Chinbotsu 2020,6.43,"Jul 9, 2020"
Sora no Otoshimono: Project Pink,7.42,"Sep 9, 2010"
Dragon Ball Z Movie 07: Kyokugen Battle!! Sandai Super Saiyajin,6.88,"Jul 11, 1992"
Seikaisuru Kado,6.80,"Apr 7, 2017, 22:30 (JST)"
Aquarion Evol,7.13,"Jan 9, 2012"
Heppoko Jikken Animation Excel♥Saga,7.50,"Oct 8, 1999, 01:45 (JST)"
Schwarzesmarken,6.79,"Jan 11, 2016, 01:05 (JST)"
Cop Craft,6.74,"Jul 9, 2019, 00:00 (JST)"
Uchuu Senkan Yamato 2199,8.37,"May 25, 2012"
Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu,6.59,"Mar 9, 1991"
Dragon Ball Z Movie 09: Ginga Girigiri!! Bucchigiri no Sugoi Yatsu,7.11,"Jul 10, 1993"
Orange: Mirai,7.45,"Nov 18, 2016"
Mobile Suit Gundam SEED Destiny,7.22,"Oct 9, 2004"
Seikimatsu Occult Gakuin,7.07,"Jul 6, 2010, 01:30 (JST)"
Dragon Ball Z Movie 02: Kono Yo de Ichiban Tsuyoi Yatsu,6.64,"Mar 10, 1990"
Nobunaga the Fool,6.68,"Jan 6, 2014"
Bakuten Shoot Beyblade,6.73,"Jan 8, 2001, 18:00 (JST)"
Pokemon Movie 07: Rekkuu no Houmonsha Deoxys,6.97,"Jul 17, 2004"
Koukaku Kidoutai: Stand Alone Complex - Solid State Society,8.14,"Sep 1, 2006"
Guilty Crown: Lost Christmas - An Episode of Port Town,6.93,"Jul 26, 2012"
Macross,7.93,"Oct 3, 1982, 14:00 (JST)"
Eureka Seven AO,6.69,"Apr 13, 2012, 01:55 (JST)"
Cencoroll,7.21,"Jul 28, 2009"
Saishuu Heiki Kanojo,7.18,"Jul 2, 2002"
Made in Abyss 2,N/A,"??? ??, ????"
Dragon Ball: Episode of Bardock,7.17,"Dec 17, 2011"
Rakuen Tsuihou,7.38,"Nov 15, 2014"
Blame! Movie,7.13,"May 20, 2017"
Kurozuka,6.93,"Oct 7, 2008"
Scrapped Princess,7.41,"Apr 8, 2003, 18:00 (JST)"
Level E,7.45,"Jan 11, 2011"
Memories,7.73,"Dec 23, 1995"
Tetsuwan Birdy Decode,7.45,"Jul 5, 2008, 01:00 (JST)"
Muv-Luv Alternative: Total Eclipse,7.11,"Jul 2, 2012, 01:35 (JST)"
Sora no Otoshimono Final: Eternal My Master,6.76,"Apr 26, 2014"
Dragon Ball Z Special 1: Tatta Hitori no Saishuu Kessen,7.56,"Oct 17, 1990"
7 Seeds,6.56,"Jun 28, 2019"
A.I.C.O.: Incarnation,6.61,"Mar 9, 2018"
Metropolis,7.54,"May 26, 2001"
Noein: Mou Hitori no Kimi e,7.61,"Oct 12, 2005, 01:30 (JST)"
Nerawareta Gakuen,6.99,"Oct 19, 2012"
Ushinawareta Mirai wo Motomete,6.76,"Oct 4, 2014, 20:30 (JST)"
Onegai☆Twins,6.87,"Jul 15, 2003"
