titulo ,score,date
Shuumatsu Nani Shitemasu ka? Isogashii Desu ka? Sukutte Moratte Ii Desu ka?,7.72,"Apr 11, 2017, 23:30 (JST)"
Cowboy Bebop: Tengoku no Tobira,8.39,"Sep 1, 2001"
Hundred,6.36,"Apr 5, 2016, 02:05 (JST)"
Evangelion: 3.0 You Can (Not) Redo,7.60,"Nov 17, 2012"
Wolf's Rain,7.82,"Jan 7, 2003, 02:10 (JST)"
Space☆Dandy,7.88,"Jan 5, 2014"
Freezing,6.90,"Jan 8, 2011, 09:30 (JST)"
World Trigger,7.58,"Oct 5, 2014, 06:30 (JST)"
Shelter,8.33,"Oct 18, 2016"
Aldnoah.Zero 2nd Season,6.97,"Jan 11, 2015, 00:00 (JST)"
Redline,8.29,"Aug 14, 2009"
Motto To LOVE-Ru,7.34,"Oct 6, 2010"
ChäoS;HEAd,6.36,"Oct 9, 2008"
Dimension W,7.22,"Jan 10, 2016, 22:30 (JST)"
Denpa Onna to Seishun Otoko,7.18,"Apr 15, 2011"
Sora no Otoshimono: Forte,7.54,"Oct 2, 2010"
One Punch Man: Road to Hero,7.73,"Dec 4, 2015"
Carole & Tuesday,7.94,"Apr 11, 2019, 00:55 (JST)"
Ginga Eiyuu Densetsu,9.07,"Jan 8, 1988"
Black Cat (TV),7.37,"Oct 7, 2005, 01:25 (JST)"
Shoujo Shuumatsu Ryokou,8.19,"Oct 6, 2017, 21:30 (JST)"
Date A Live III,7.14,"Jan 11, 2019, 21:30 (JST)"
One Punch Man Specials,7.72,"Dec 24, 2015"
Gintama': Enchousen,9.04,"Oct 4, 2012, 18:00 (JST)"
Akudama Drive,7.71,"Oct 8, 2020, 21:30 (JST)"
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.73,"Jan 17, 2020"
Persona 4 the Animation,7.52,"Oct 7, 2011"
Darker than Black: Kuro no Keiyakusha Gaiden,7.96,"Jan 27, 2010"
Sakasama no Patema,8.04,"Nov 9, 2013"
Code Geass: Fukkatsu no Lelouch,7.96,"Feb 9, 2019"
Id:Invaded,7.90,"Jan 6, 2020, 00:30 (JST)"
Psycho-Pass Movie,7.74,"Jan 9, 2015"
Mahouka Koukou no Rettousei: Raihousha-hen,7.29,"Oct 4, 2020, 00:30 (JST)"
Masou Gakuen HxH,6.18,"Jul 6, 2016, 00:30 (JST)"
Deca-Dence,7.47,"Jul 8, 2020, 23:30 (JST)"
Gintama.,8.98,"Jan 9, 2017, 01:35 (JST)"
SSSS.Gridman,7.18,"Oct 7, 2018, 00:00 (JST)"
Kanata no Astra,8.15,"Jul 3, 2019, 21:00 (JST)"
Sidonia no Kishi,7.69,"Apr 11, 2014"
Planetes,8.31,"Oct 4, 2003, 08:05 (JST)"
Gankutsuou,8.17,"Oct 6, 2004, 02:12 (JST)"
To LOVE-Ru Darkness 2nd,7.50,"Jul 7, 2015, 00:00 (JST)"
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,8.54,"Jan 1, 2004"
Punch Line,6.99,"Apr 10, 2015, 00:55 (JST)"
Kantai Collection: KanColle,6.88,"Jan 8, 2015, 01:05 (JST)"
Canaan,7.26,"Jul 4, 2009, 22:30 (JST)"
Terra Formars,7.04,"Sep 27, 2014, 00:30 (JST)"
Mobile Suit Gundam 00,8.14,"Oct 6, 2007, 18:00 (JST)"
Texhnolyze,7.76,"Apr 17, 2003, 03:28 (JST)"
Neon Genesis Evangelion: Death & Rebirth,7.45,"Mar 15, 1997"
Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,8.26,"Dec 3, 2015"
Karneval (TV),7.14,"Apr 4, 2013"
Psycho-Pass 3,7.53,"Oct 25, 2019, 00:55 (JST)"
Chrome Shelled Regios,7.35,"Jan 11, 2009"
Toaru Majutsu no Index III,6.77,"Oct 5, 2018, 22:00 (JST)"
"Kumo no Mukou, Yakusoku no Basho",7.55,"Nov 20, 2004"
Promare,8.07,"May 24, 2019"
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.95,"Jul 6, 2013"
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,8.57,"Apr 22, 2009"
Occultic;Nine,6.94,"Oct 9, 2016, 00:00 (JST)"
Mobile Suit Gundam: Iron-Blooded Orphans,8.02,"Oct 4, 2015, 17:00 (JST)"
Evangelion: 3.0+1.0 Thrice Upon a Time,7.71,"Mar 8, 2021"
Gatchaman Crowds,7.33,"Jul 13, 2013"
Asobi ni Iku yo!,6.65,"Jul 11, 2010, 01:58 (JST)"
Gunslinger Girl,7.42,"Oct 9, 2003"
.hack//Sign,6.98,"Apr 4, 2002"
Robotics;Notes,7.35,"Oct 12, 2012, 01:15 (JST)"
Flip Flappers,7.68,"Oct 6, 2016, 21:00 (JST)"
Cross Ange: Tenshi to Ryuu no Rondo,7.41,"Oct 5, 2014, 01:30 (JST)"
Gungrave,7.86,"Oct 7, 2003"
